 2022-01-10 23:30:37,648 - 'a'
 2022-01-10 23:30:37,735 - 'd'
 2022-01-10 23:30:37,744 - 'f'
 2022-01-10 23:30:37,749 - 's'
 2022-01-10 23:30:37,941 - 'a'
 2022-01-10 23:30:38,096 - 'd'
 2022-01-10 23:30:38,134 - 'f'
 2022-01-10 23:30:38,294 - 'a'
 2022-01-10 23:30:38,398 - 'd'
 2022-01-10 23:30:38,486 - 'f'
 2022-01-10 23:30:38,598 - 'a'
 2022-01-10 23:30:38,729 - 'd'
 2022-01-10 23:30:41,033 - Key.space
 2022-01-10 23:30:42,042 - 'a'
 2022-01-10 23:30:42,173 - 'f'
 2022-01-10 23:30:42,192 - 'd'
 2022-01-10 23:30:42,338 - 'a'
 2022-01-10 23:30:42,528 - 'd'
 2022-01-10 23:30:42,532 - 'f'
 2022-01-10 23:30:46,513 - 'a'
 2022-01-10 23:30:57,741 - Key.enter
 2022-01-10 23:30:59,573 - Key.up
 2022-01-10 23:31:00,078 - Key.up
 2022-01-10 23:31:00,109 - Key.up
 2022-01-10 23:31:00,139 - Key.up
 2022-01-10 23:31:00,185 - Key.up
 2022-01-10 23:31:00,216 - Key.up
 2022-01-10 23:31:00,830 - Key.down
 2022-01-10 23:31:00,967 - Key.down
 2022-01-10 23:31:01,230 - Key.left
 2022-01-10 23:31:01,508 - Key.down
 2022-01-10 23:31:01,787 - Key.left
 2022-01-10 23:31:02,018 - Key.left
 2022-01-10 23:31:02,719 - Key.enter
 2022-01-10 23:31:03,067 - 'p'
 2022-01-10 23:31:03,189 - 'r'
 2022-01-10 23:31:03,291 - 'i'
 2022-01-10 23:31:03,375 - 'n'
 2022-01-10 23:31:03,454 - 't'
 2022-01-10 23:31:03,987 - Key.backspace
 2022-01-10 23:31:04,133 - Key.backspace
 2022-01-10 23:31:04,257 - 'n'
 2022-01-10 23:31:04,781 - Key.tab
 2022-01-10 23:31:06,072 - Key.tab
 2022-01-10 23:31:08,210 - Key.enter
 2022-01-10 23:31:35,002 - 'i'
 2022-01-10 23:31:35,522 - Key.backspace
 2022-01-10 23:31:35,596 - Key.shift
 2022-01-10 23:31:35,695 - '@'
 2022-01-10 23:31:35,697 - '#'
 2022-01-10 23:31:36,142 - Key.backspace
 2022-01-10 23:31:36,322 - Key.backspace
 2022-01-10 23:31:36,710 - Key.shift
 2022-01-10 23:31:36,838 - '#'
 2022-01-10 23:31:37,235 - 'i'
 2022-01-10 23:31:37,376 - 'f'
 2022-01-10 23:31:37,402 - Key.space
 2022-01-10 23:31:37,933 - 't'
 2022-01-10 23:31:37,991 - 'h'
 2022-01-10 23:31:38,096 - 'e'
 2022-01-10 23:31:38,159 - Key.space
 2022-01-10 23:31:39,318 - '`'
 2022-01-10 23:31:41,455 - Key.tab
 2022-01-10 23:31:43,190 - Key.enter
 2022-01-10 23:31:44,519 - Key.tab
 2022-01-10 23:31:44,666 - Key.enter
 2022-01-10 23:31:47,046 - 'p'
 2022-01-10 23:31:47,127 - 'r'
 2022-01-10 23:31:47,233 - 'i'
 2022-01-10 23:31:47,328 - 'n'
 2022-01-10 23:31:47,334 - 't'
 2022-01-10 23:31:47,583 - Key.shift
 2022-01-10 23:31:47,736 - '('
 2022-01-10 23:31:49,169 - Key.tab
 2022-01-10 23:31:56,795 - Key.esc
